LOJA;DATA;SKU;QTD_ANTIGA;QTDE_AJUSTE;TIPO_AJUSTE
299;02/06/2025;999999991117644;1;1;SA?DA DO ESTOQUE
042;03/06/2025;999999991149358;1;1;AJUSTE CONTAGEM SAIDA
301;02/01/2025;999999992586008;-3;1;AJUSTE CONTAGEM ENTRADA
299;02/06/2025;999999991162200;1;1;SA?DA DO ESTOQUE
DES;21/05/2025;999999991162414;-4;4;ENTRADA NO ESTOQUE
299;06/06/2025;999999991162414;1;1;SA?DA DO ESTOQUE
024;19/05/2025;999999991162414;-2;4;ENTRADA NO ESTOQUE
024;09/05/2025;999999991162414;-5;7;ENTRADA NO ESTOQUE
024;22/04/2025;999999991162414;2;9;ENTRADA NO ESTOQUE
024;14/04/2025;999999991162414;-28;28;ENTRADA NO ESTOQUE
024;14/04/2025;999999991162414;-1;12;ENTRADA NO ESTOQUE
024;15/04/2025;999999991162414;1;21;ENTRADA NO ESTOQUE
